keyword,popularity,popularity_is_floor,difficulty,apps_count,source_apps_count,source_apps,top_category,fetched_at
photo cleanup,32,False,77,239,2,338351962682|336989865805,graphics-and-design,1778832764.063565
face retouch,32,False,81,206,1,304369060311,graphics-and-design,1778832263.56447
photo compressor,32,False,42,227,1,337173726951,graphics-and-design,1778832764.063571
daily devotional,31,False,72,223,1,338201980548,reference,1778832150.299998
floor plan,31,False,59,222,1,280389744699,utilities,1778832364.403965
height measure,31,False,41,215,1,280389744699,utilities,1778832479.970918
love tracker,31,False,59,206,1,6451702,lifestyle,1778832555.029603
tarot card reading,31,False,60,226,1,280110894089,lifestyle,1778833050.270328
women workout,31,False,64,235,1,280708135650,health-and-fitness,1778833159.2300658
strength training,30,False,75,244,5,281015303312|39942537961|6720448|338147689315|335673431116,health-and-fitness,1778833025.5413592
streak tracker,30,False,61,243,3,336744099256|335832412120|337330320694,productivity,1778833025.541355
app icon changer,30,False,72,208,1,333890705980,graphics-and-design,1778831847.4703171
date countdown,30,False,74,224,1,280873663392,utilities,1778832150.3000278
professional headshot,30,False,56,227,1,337374356753,photo-and-video,1778832840.951774
watermark maker,30,False,62,224,1,283470740242,graphics-and-design,1778833128.7572942
workout for women,28,False,66,234,2,280708135650|39942537961,health-and-fitness,1778833182.0337238
background changer,28,False,66,223,1,336244594916,graphics-and-design,1778831904.466603
dating advice,28,False,41,203,1,336359375481,lifestyle,1778832150.300034
astrology app,27,False,71,242,2,280422884636|281336005308,lifestyle,1778831876.98455
moon phases,27,False,71,204,1,333889757967,lifestyle,1778832666.6664388
profile picture maker,26,False,70,223,1,337374356753,photo-and-video,1778832865.9396422
transparent background,25,False,76,219,2,317637953541|336244594916,graphics-and-design,1778833074.763915
bodybuilding,25,False,72,205,1,281015303312,health-and-fitness,1778831980.631104
couples therapy,25,False,67,234,1,281795024245,lifestyle,1778832097.653208
relationship app,25,False,72,233,1,281795024245,lifestyle,1778832892.6393988
wake up alarm,25,False,66,218,1,266417844442,lifestyle,1778833100.5367591
ai headshot,24,False,65,228,1,337374356753,photo-and-video,1778831818.3187048
jpg converter,24,False,44,241,1,337173726951,graphics-and-design,1778832528.037025
limit screen time,24,False,58,244,1,334335784926,productivity,1778832528.037029
ai face generator,23,False,64,237,1,335004630438,photo-and-video,1778831793.381971
baby predictor,23,False,53,218,1,335004630438,photo-and-video,1778831904.4665961
coin tracker,23,False,63,224,1,280283211965,finance,1778832071.449609
icon pack,23,False,68,212,1,333890705980,graphics-and-design,1778832506.1442618
bill splitter,22,False,47,221,1,7237471,finance,1778831955.390924
birth control reminder,22,False,50,200,1,41565369835,health-and-fitness,1778831955.390934
countdown calendar,22,False,70,229,1,282035529569,utilities,1778832097.6527958
driving log,22,False,37,227,1,41540288277,finance,1778832235.125875
envelope budget,22,False,53,222,1,9354933,finance,1778832235.1258829
health journal,22,False,68,234,1,41107681934,medical,1778832479.970907
heic converter,22,False,40,225,1,337173726951,graphics-and-design,1778832479.970915
ai background remover,21,False,75,238,4,337050396332|337852557423|317637953541|336244594916,graphics-and-design,1778831793.3819551
digital wellbeing,21,False,52,234,2,335645989610|334335784926,productivity,1778832205.717414
baby development,21,False,70,203,1,281836941420,medical,1778831876.984791
christian app,21,False,78,239,1,338201980548,reference,1778832045.39056
communication app,21,False,85,233,1,281795024245,lifestyle,1778832071.449622
convert heic to jpg,21,False,47,243,1,337173726951,graphics-and-design,1778832071.449643
couple app,21,False,70,238,1,6451702,lifestyle,1778832097.652809
headshot generator,21,False,64,230,1,337374356753,photo-and-video,1778832479.9709032
object eraser,21,False,66,226,1,337852557423,graphics-and-design,1778832689.774616
pickup lines,21,False,17,174,1,336359375481,lifestyle,1778832792.1831172
trip tracker,21,False,59,225,1,41540288277,finance,1778833074.763954
dopamine detox,20,False,50,232,2,338215370307|336995391565,productivity,1778832235.125866
aesthetic wallpapers,19,False,71,229,1,286113330412,graphics-and-design,1778831793.381917
crypto portfolio,19,False,70,220,1,280283211965,finance,1778832121.59727
finance manager,19,False,69,234,1,281584684358,finance,1778832333.875019
weightlifting tracker,19,False,75,245,1,6720448,health-and-fitness,1778833159.230056
due date calculator,18,False,48,209,4,281836941420|280269830713|5851887|280125433823,medical,1778832235.12588
days together,18,False,54,221,1,6451702,lifestyle,1778832176.980164
gas mileage tracker,18,False,57,193,1,41540288277,finance,1778832423.55394
habit builder,17,False,66,239,3,336744099256|335832412120|337330320694,productivity,1778832454.3152251
anniversary countdown,17,False,71,222,2,280873663392|6451702,lifestyle,1778831847.470263
debt payoff,17,False,51,208,2,336994147797|280010505135,finance,1778832176.980176
home exercise,17,False,75,241,2,280708135650|39942537961,health-and-fitness,1778832479.9709198
hormone tracker,17,False,68,216,2,336802133684|281947989774,health-and-fitness,1778832506.144253
diet plan,17,False,79,237,1,333801633226,health-and-fitness,1778832205.7174048
face maker,17,False,72,209,1,335004630438,photo-and-video,1778832263.564466
photo background editor,17,False,85,229,1,317637953541,graphics-and-design,1778832764.063561
watermark photo,17,False,54,219,1,283470740242,graphics-and-design,1778833128.7572968
productivity timer,16,False,67,241,3,338407302861|40035508212|338267477251,productivity,1778832840.9517682
acne remover,16,False,64,202,2,336989865805|304369060311,graphics-and-design,1778831760.8249578
debt snowball,16,False,42,192,2,336994147797|280010505135,finance,1778832176.980182
photo text editor,16,False,84,220,2,16120807211|281076697413,graphics-and-design,1778832792.183091
belly fat workout,16,False,65,220,1,280708135650,health-and-fitness,1778831933.169827
measurement app,16,False,58,218,1,335969042893,utilities,1778832585.051404
